,id,Nodraft,Yesdraft,Player,Team,Conference,Games Played,Minutes Percentage,Offensive Rating,True Shooting Percentage,Assist Percentage,Turnover Percentage,Block Percentage,Free Throw Percentage,Points Over Replacement Per Adjusted Game,Adjusted Offensive Efficiency
3157,3157,1.0,0.0,Kyle Karstetter,Idaho St.,BSky,12,4.4,11.3,0.0,0.0,0.0,0.0,0.0,-0.768363,6.28987
3158,3158,0.992,0.008,Kyndall Davis,LIU Brooklyn,NEC,18,38.3,100.7,45.81,11.4,14.4,2.6,0.625,0.157372,88.2135
3159,3159,1.0,0.0,Anthony Kabala,LIU Brooklyn,NEC,1,0.3,39.3,0.0,0.0,81.4,0.0,0.0,-0.331563,37.4801
3160,3160,1.0,0.0,Christian Jeanty,LIU Brooklyn,NEC,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.159778,-6.83507
3161,3161,1.0,0.0,Creighton Lebo,North Carolina,ACC,7,0.9,112.8,75.0,0.0,28.0,0.0,0.0,0.14578,111.99
3162,3162,0.968,0.032,Will Carius,Western Illinois,Sum,21,79.5,115.2,57.65,5.8,11.0,1.7,0.78,2.92064,111.716
3163,3163,0.996,0.004,Marty Silvera,Saint Peter's,MAAC,25,24.2,87.3,48.35,17.5,27.4,0.5,0.857,-0.0235862,84.5536
3164,3164,1.0,0.0,Charles Mendys,Elon,CAA,6,1.5,0.0,0.0,0.0,40.4,0.0,0.0,-0.548907,-1.0278
3165,3165,1.0,0.0,Jake kosakowski,UC San Diego,BW,5,4.8,131.0,72.22,16.4,11.3,0.0,0.0,0.943526,135.609
3166,3166,0.998,0.002,Bryce Pope,UC San Diego,BW,12,59.1,93.5,55.62,6.1,15.0,0.0,0.2,0.762396,93.2318
3167,3167,0.996,0.004,Joe Moon IV,Bryant,NEC,8,3.0,71.6,35.71,12.9,32.5,0.0,0.0,-0.203065,66.5293
3168,3168,1.0,0.0,Elijah Wood,Eastern Illinois,OVC,12,2.7,25.1,11.11,12.6,35.2,0.0,0.0,-0.471943,26.9672
3169,3169,1.0,0.0,Alex Huibregste,Wright St.,Horz,24,36.3,105.7,44.4,8.5,9.9,0.0,1.0,0.01363,85.5265
3170,3170,1.0,0.0,Eduardo Andre,Nebraska,B10,19,15.5,101.9,57.07,10.0,20.2,2.2,0.444,0.50859,102.559
3171,3171,0.996,0.004,Lu'Cye Patterson,Missouri St.,MVC,21,32.5,79.0,36.11,13.5,18.8,0.0,0.552,-0.410121,76.5774
3172,3172,0.982,0.018,Nelly Junior Joseph,Iona,MAAC,18,69.3,108.0,60.84,10.5,22.5,7.0,0.638,2.13541,107.454
3173,3173,1.0,0.0,Lj Cryer,Baylor,B12,20,16.6,113.3,54.34,11.4,15.9,0.0,0.643,0.893558,111.007
3174,3174,1.0,0.0,Kendrick Gilbert,UNLV,MWC,1,0.3,210.5,105.26,0.0,0.0,0.0,1.0,1.097,190.635
3175,3175,0.984,0.016,Saquan Singleton,New Mexico,MWC,20,64.8,86.3,44.49,27.9,23.3,3.5,0.52,0.31059,88.7082
3176,3176,0.962,0.038,Shaquan Jules,Radford,BSth,25,32.4,114.6,67.54,1.7,19.2,2.2,0.589,1.37816,115.946
3177,3177,1.0,0.0,Quentin Hodge,USC Upstate,BSth,12,12.6,61.5,43.42,5.1,41.3,0.0,1.0,-0.94344,55.8628
3178,3178,1.0,0.0,Zach Loveday,Baylor,B12,13,4.7,148.2,74.07,3.2,6.6,7.8,0.75,0.844826,140.783
3179,3179,0.992,0.008,Xavier Lipscomb,Radford,BSth,25,60.5,96.0,58.18,13.2,30.4,0.4,0.814,0.381926,89.8047
3180,3180,1.0,0.0,Dave Dickerson III,USC Upstate,BSth,2,0.5,210.5,105.26,0.0,0.0,0.0,1.0,0.683577,183.754
3181,3181,1.0,0.0,Bobby Harvey,IUPUI,Horz,14,35.7,89.0,49.92,3.7,18.3,0.8,0.533,-0.246444,81.3869
3182,3182,1.0,0.0,Dawson Baker,UC Irvine,BW,23,55.0,108.9,56.82,10.5,15.3,0.4,0.769,2.13613,110.998
3183,3183,1.0,0.0,Isaiah Wilson,Richmond,A10,19,14.9,86.1,46.0,8.8,23.2,0.0,0.462,-0.0683731,82.3979
3184,3184,1.0,0.0,Sam Towns,Ohio,MAC,15,10.9,75.8,32.56,5.7,7.6,2.2,0.385,-0.410729,68.3464
3185,3185,0.996,0.004,Demarcus Sharp,Missouri St.,MVC,20,72.8,107.6,55.43,21.8,20.1,1.8,0.71,1.99941,103.234
3186,3186,1.0,0.0,Raphe Ayres,Missouri St.,MVC,8,2.0,89.6,42.86,10.2,14.4,0.0,0.0,0.0475452,91.3455
3187,3187,0.992,0.008,Drake Jeffries,Wyoming,MWC,25,55.8,115.0,56.72,6.6,5.7,1.3,0.882,1.55649,105.337
3188,3188,0.974,0.026,Zed Key,Ohio St.,B10,31,29.0,113.4,60.65,5.1,16.7,6.8,0.549,1.64618,126.147
3189,3189,0.996,0.004,Cameron Matthews,Mississippi St.,SEC,31,39.3,88.3,46.01,12.7,29.3,1.8,0.313,-0.0795529,83.8828
3190,3190,1.0,0.0,Grant Coleman,Bryant,NEC,20,40.3,96.5,53.85,4.4,19.4,2.2,0.724,0.109455,87.0371
3191,3191,0.988,0.012,Olivier-Maxence Prosper,Marquette,BE,22,22.1,94.4,43.23,5.7,12.7,1.8,0.682,0.392899,97.0171
3192,3192,1.0,0.0,Tony Toney,UAB,CUSA,14,5.9,86.2,43.32,7.7,20.5,0.0,0.833,-0.125251,77.3599
3193,3193,0.93,0.07,Justin Lewis,Marquette,BE,21,40.5,93.8,46.39,7.8,16.2,3.4,0.577,1.27244,102.902
3194,3194,1.0,0.0,Oso Ighodaro,Marquette,BE,5,3.5,104.6,67.04,9.9,31.1,2.8,0.0,0.0862366,88.5258
3195,3195,0.986,0.014,Terence Lewis II,Jackson St.,SWAC,22,18.5,118.6,64.36,10.5,17.9,1.2,0.783,1.13549,120.895
3196,3196,1.0,0.0,Simeon Kirkland,New Orleans,Slnd,16,11.2,96.7,56.77,1.4,28.3,1.0,0.8,0.0112413,85.6841
3197,3197,0.99,0.01,Dylan Engler,The Citadel,SC,3,1.1,0.0,0.0,0.0,0.0,21.1,0.0,-0.915682,-2.706
3198,3198,1.0,0.0,Chaz Lanier,North Florida,ASun,9,10.5,98.7,48.78,12.6,16.7,0.0,0.667,0.0176631,85.7764
3199,3199,0.998,0.002,Jacob Crews,North Florida,ASun,20,30.8,87.7,43.88,4.7,13.5,1.5,0.833,0.0545672,86.4701
3200,3200,1.0,0.0,Gabe O'Neal,Bowling Green,MAC,21,26.0,115.3,65.65,1.7,21.6,1.9,0.842,0.887716,108.753
3201,3201,1.0,0.0,Jalen Harris,Cal St. Fullerton,BW,9,23.8,79.5,41.18,20.1,25.7,0.0,0.731,-0.280227,80.1383
